Iteration,Makespan
0,2945.273290255822
1,2945.273290255822
2,2945.273290255822
3,2918.783459805312
4,2918.783459805312
5,2918.783459805312
6,2918.783459805312
7,2918.783459805312
8,2918.783459805312
9,2918.783459805312
10,2851.337343942958
11,2851.337343942958
12,2851.337343942958
13,2851.337343942958
14,2851.337343942958
15,2851.337343942958
16,2851.337343942958
17,2851.337343942958
18,2808.0079573725698
19,2804.2173861562983
20,2801.111186883848
21,2801.111186883848
22,2801.111186883848
23,2801.111186883848
24,2801.111186883848
25,2801.111186883848
26,2801.111186883848
27,2801.111186883848
28,2801.111186883848
29,2801.111186883848
30,2801.111186883848
31,2801.111186883848
32,2801.111186883848
33,2801.111186883848
34,2801.111186883848
35,2801.111186883848
36,2801.111186883848
37,2801.111186883848
38,2801.111186883848
39,2801.111186883848
40,2801.111186883848
41,2801.111186883848
42,2801.111186883848
43,2801.111186883848
44,2801.111186883848
45,2801.111186883848
46,2801.111186883848
47,2801.111186883848
48,2801.111186883848
49,2801.111186883848
50,2801.111186883848
51,2801.111186883848
52,2720.4425255395226
53,2711.680685316239
54,2711.680685316239
55,2642.94307555285
56,2642.94307555285
57,2642.94307555285
58,2642.94307555285
59,2642.94307555285
60,2642.94307555285
61,2607.9860381729814
62,2607.9860381729814
63,2607.9860381729814
64,2607.9860381729814
65,2607.9860381729814
66,2607.9860381729814
67,2607.9860381729814
68,2607.9860381729814
69,2607.9860381729814
70,2607.9860381729814
71,2607.9860381729814
72,2607.9860381729814
73,2607.9860381729814
74,2607.9860381729814
75,2607.9860381729814
76,2607.9860381729814
77,2607.9860381729814
78,2607.9860381729814
79,2607.9860381729814
80,2607.9860381729814
81,2607.9860381729814
82,2607.9860381729814
83,2607.9860381729814
84,2607.9860381729814
85,2607.9860381729814
86,2607.9860381729814
87,2607.9860381729814
88,2607.9860381729814
89,2607.9860381729814
90,2607.9860381729814
91,2607.9860381729814
92,2607.9860381729814
93,2607.9860381729814
94,2607.9860381729814
95,2607.9860381729814
96,2607.9860381729814
97,2607.9860381729814
98,2607.9860381729814
99,2607.9860381729814
